Date,i,pi,UNRATE,YLVL,SPREAD,r_real,y_log,x_gap_proxy,x_gap_est,rn_est
2013-06-01,0.07,1.7012400261643634,8.2,17709.671,2.48,-1.6312400261643634,9.781866153529224,0.048744219519472054,-2.0345027511988487,-1.4191604301717893
2013-07-01,0.09,1.8679171018338714,8.2,17860.45,2.56,-1.7779171018338713,9.790344050081721,0.056579170947564705,-2.02724704138884,-1.382668388615528
2013-08-01,0.07,1.5270898906586616,8.2,17860.45,2.75,-1.4570898906586616,9.790344050081721,0.0559505134925935,-2.0084522910508285,-1.3395453642032904
2013-09-01,0.06,1.088785270925996,7.2,17860.45,2.62,-1.028785270925996,9.790344050081721,0.05533567268498274,-1.552358131521581,-1.3022826433906722
2013-10-01,0.07,0.8729775818349772,7.2,18016.147,2.53,-0.8029775818349771,9.799023690319984,0.06331949430451367,-1.5419652145993712,-1.2689608041834153
2013-11-01,0.07,1.2253322438004588,7.2,18016.147,2.69,-1.1553322438004587,9.799023690319984,0.06263863952704618,-1.5382289520954542,-1.2412927914190495
2013-12-01,0.07,1.5015090867017022,6.7,18016.147,2.97,-1.4315090867017022,9.799023690319984,0.061972271021438985,-1.303155695643174,-1.2199227418798593
2014-01-01,0.07,1.545750281811209,6.7,17953.974,2.65,-1.475750281811209,9.795566762170324,0.05789939189418192,-1.2902901540703187,-1.198458724826105
2014-02-01,0.06,1.1142438176857894,6.7,17953.974,2.6100000000000003,-1.0542438176857893,9.795566762170324,0.05729627322861752,-1.2879965718041637,-1.1758116212069845
2014-03-01,0.06,1.5998291291059452,6.7,17953.974,2.68,-1.5398291291059452,9.795566762170324,0.05670558999945641,-1.2958047190384596,-1.1559574717302668
2014-04-01,0.09,1.995090359296281,6.7,18185.911,2.64,-1.905090359296281,9.808402452399474,0.06883167532831358,-1.2876960628684446,-1.1333439817142585
2014-05-01,0.08,2.1438031323914863,6.7,18185.911,2.44,-2.0638031323914863,9.808402452399474,0.06813640588055314,-1.2730204021369682,-1.1036281814238107
2014-06-01,0.09,2.0380712080756425,6.1,18185.911,2.4899999999999998,-1.9480712080756424,9.808402452399474,0.06745504182174855,-0.9934910107793823,-1.0704023332607153
2014-07-01,0.08,1.9550025496311463,6.1,18406.941,2.5500000000000003,-1.8750025496311462,9.820483100725255,0.07874820806686067,-0.9857855916345967,-1.030658168298863
2014-08-01,0.07,1.7005565715979998,6.1,18406.941,2.3200000000000003,-1.6305565715979997,9.820483100725255,0.07797616681130393,-0.9857463698383604,-0.9842224895286923
2014-09-01,0.07,1.6700280492135455,6.1,18406.941,2.5,-1.6000280492135455,9.820483100725255,0.07721911664808623,-0.9890628597714206,-0.9327052366665504
2014-10-01,0.07,1.596725913786301,6.1,18500.031,2.3400000000000003,-1.526725913786301,9.825527686740688,0.08147270552252373,-0.9889232488264352,-0.875348110006546
2014-11-01,0.08,1.2240034107743547,6.1,18500.031,2.16,-1.1440034107743546,9.825527686740688,0.08069677499373817,-0.9881788945231631,-0.8117056546328993
2014-12-01,0.06,0.6509977956253188,6.1,18500.031,2.13,-0.5909977956253187,9.825527686740688,0.07993548466360778,-0.992632574014926,-0.7445071706358014
2015-01-01,0.06,-0.2301957253808773,6.1,18666.621,1.66,0.2901957253808773,9.834492234617613,0.08806919111492029,-0.9887879637258894,-0.6785486833832859
2015-02-01,0.06,-0.0870693573011394,5.5,18666.621,1.98,0.1470693573011394,9.834492234617613,0.08725373564163519,-0.7259006360009421,-0.6279461669820662
2015-03-01,0.06,-0.02203371166791257,5.4,18666.621,1.91,0.08203371166791257,9.834492234617613,0.08645324265409648,-0.6679556733391108,-0.5877673295562708
2015-04-01,0.08,-0.10408513918598317,5.4,18782.243,2.04,0.18408513918598318,9.84066718120015,0.0917861147890271,-0.6634513393974406,-0.5557241865748365
